"Station.ID","WY","UTMX","UTMY","mean.TSS","mean.Turb","mean.TP"
"L007",1991,521439.430488099,2960978.80337257,15.0526315789474,16.7421052631579,88.8421052631579
"L007",1992,521439.430488099,2960978.80337257,7.97222222222222,10.1166666666667,63.1111111111111
"L007",1993,521439.430488099,2960978.80337257,11.5,14.55,68.1111111111111
"L007",1994,521439.430488099,2960978.80337257,22.1842105263158,28.3789473684211,96
"L007",1995,521439.430488099,2960978.80337257,12.7368421052632,15.7529411764706,79.6842105263158
"L007",1996,521439.430488099,2960978.80337257,14.0526315789474,25.4117647058824,98
"L007",1997,521439.430488099,2960978.80337257,16.0625,19.621875,88.75
"L007",1998,521439.430488099,2960978.80337257,13.2666666666667,20.1366666666667,103.742857142857
"L007",1999,521439.430488099,2960978.80337257,13.9473684210526,19.5115789473684,93.5263157894737
"L007",2000,521439.430488099,2960978.80337257,21.1875,30.7466666666667,121.0625
"L007",2001,521439.430488099,2960978.80337257,17.075,16.585,80.25
"L007",2002,521439.430488099,2960978.80337257,13.025,19.3125,103.75
"L007",2003,521439.430488099,2960978.80337257,15.0166666666667,20.9288888888889,115.666666666667
"L007",2004,521439.430488099,2960978.80337257,18.7909090909091,22.6536363636364,116.909090909091
"L007",2005,521439.430488099,2960978.80337257,74.8181818181818,79.6,200.4
"L007",2006,521439.430488099,2960978.80337257,45.6153846153846,67.0461538461538,202.5
"L007",2007,521439.430488099,2960978.80337257,21.9583333333333,30.4083333333333,127.083333333333
"L007",2008,521439.430488099,2960978.80337257,14.3333333333333,14.1333333333333,64
"L007",2009,521439.430488099,2960978.80337257,24.3125,33.525,144.125
"L007",2010,521439.430488099,2960978.80337257,22.8,13.9555555555556,109.2
"L007",2011,521439.430488099,2960978.80337257,24.0909090909091,26.6,115.363636363636
"L007",2012,521439.430488099,2960978.80337257,7.18181818181818,10.8272727272727,65.9090909090909
"L007",2013,521439.430488099,2960978.80337257,9.25,17.025,98.1666666666667
"L007",2014,521439.430488099,2960978.80337257,17.3846153846154,21.1,110.769230769231
"L007",2015,521439.430488099,2960978.80337257,14.3333333333333,20.6333333333333,114
"L007",2016,521439.430488099,2960978.80337257,13.25,20.5333333333333,98.5833333333333
"L007",2017,521439.430488099,2960978.80337257,19.75,28.7166666666667,126.833333333333
"L007",2018,521439.430488099,2960978.80337257,31.875,57.075,186.416666666667
"L007",2019,521439.430488099,2960978.80337257,25.75,29.8333333333333,145.833333333333
"L007",2020,521439.430488099,2960978.80337257,14.4583333333333,22.4416666666667,110.25
"L008",1988,510750.117058978,2981689.10764391,17.3636363636364,43.5615384615385,131.846153846154
"L008",1989,510750.117058978,2981689.10764391,17.5263157894737,24.17,90.3
"L008",1990,510750.117058978,2981689.10764391,30.2,40.6388888888889,96.7777777777778
"L008",1991,510750.117058978,2981689.10764391,27.3888888888889,31.2277777777778,99.7777777777778
"L008",1992,510750.117058978,2981689.10764391,18.5333333333333,21.1466666666667,90.2666666666667
"L008",1993,510750.117058978,2981689.10764391,16.6,21.3533333333333,75.5333333333333
"L008",1994,510750.117058978,2981689.10764391,31.125,37.76875,111.1875
"L008",1995,510750.117058978,2981689.10764391,21.8823529411765,25.5466666666667,101.470588235294
"L008",1996,510750.117058978,2981689.10764391,27.1666666666667,38.964375,121.705882352941
"L008",1997,510750.117058978,2981689.10764391,31.2,35.2866666666667,112.153846153846
"L008",1998,510750.117058978,2981689.10764391,33.2941176470588,42.3517647058824,135.975
"L008",1999,510750.117058978,2981689.10764391,28.6666666666667,35.9888888888889,121.222222222222
"L008",2000,510750.117058978,2981689.10764391,39.4375,46.5175,139.25
"L008",2001,510750.117058978,2981689.10764391,38.825,48.5335714285714,138.285714285714
"L008",2002,510750.117058978,2981689.10764391,29.98,31.5266666666667,122.533333333333
"L008",2003,510750.117058978,2981689.10764391,32.2388888888889,36.4111111111111,138.611111111111
"L008",2004,510750.117058978,2981689.10764391,24.6083333333333,29.3775,120
"L008",2005,510750.117058978,2981689.10764391,100.272727272727,107.354545454545,262.909090909091
"L008",2006,510750.117058978,2981689.10764391,69.8333333333333,86.125,235.916666666667
"L008",2007,510750.117058978,2981689.10764391,44.25,63.7916666666667,190.166666666667
"L008",2008,510750.117058978,2981689.10764391,87.1,101.56,223.1
"L008",2009,510750.117058978,2981689.10764391,59.75,66.1916666666667,175.083333333333
"L008",2010,510750.117058978,2981689.10764391,29.2727272727273,33.7181818181818,126
"L008",2011,510750.117058978,2981689.10764391,33.4545454545455,42.6272727272727,127.545454545455
"L008",2012,510750.117058978,2981689.10764391,24.5833333333333,28.4,97.1666666666667
"L008",2013,510750.117058978,2981689.10764391,38.1818181818182,51.9272727272727,147.818181818182
"L008",2014,510750.117058978,2981689.10764391,21.75,32.2916666666667,122.916666666667
"L008",2015,510750.117058978,2981689.10764391,40.25,49.0666666666667,148.083333333333
"L008",2016,510750.117058978,2981689.10764391,33.4166666666667,42.15,136.416666666667
